3	3	4.5	2	2	4.5	4	4.5	6	5
4	3.5	3.5	3.5	3	3	3.5	3	4.5	2.66666666666667
4	4	4.5	3.5	4	4	4.5	4	4.5	4.66666666666667
4.5	3	4.5	5	5	5	3.5	3	5.5	5.33333333333333
3	1.5	4.5	3.5	3.5	5.5	4.5	5.5	5	5
3.5	3	3	4.5	5	6	6	5.5	5.5	4.66666666666667
6	6	4	5	4.5	2.5	2.5	3	4	4.66666666666667
5.5	1	4	2	2	3	5.5	4.5	5.5	5.66666666666667
5.5	3.5	4	4.5	3.5	4	3	3.5	5.5	4.66666666666667
5.5	5.5	6	4	4	4.5	3	4	5	5
5	2.5	3.5	3	2	2	2	2	5	6
4.5	4	4.5	2.5	3	5	4	4	5	5.33333333333333
5.5	3.5	6	5	4	6	4	3.5	5.5	5.33333333333333
3	3.5	4	4	4.5	4.5	4.5	6	5.5	4
5.5	2.5	2.5	3	2.5	2	3.5	1.5	6	5
3.5	2.5	2.5	5	3.5	3.5	4	5.5	5.5	4.66666666666667
4.5	3.5	5	5	3	2	1.5	3.5	5	5
4	4	4	4	4	4	4	4	4	4
6	5.5	4.5	3	4	5	2	4	5	5
4.5	2	3.5	5	4	3.5	4	3.5	5	4.66666666666667
5	4	4	5	5	6	4.5	4.5	6	6
6	3	4.5	6	5	6	5	6	6	6
4.5	1	3	2	3	5	3	5	5.5	5.66666666666667
6	2.5	2.5	4.5	2	3.5	1.5	4.5	4.5	5.33333333333333
6	5	5	5.5	4	4.5	4	4	4.5	5
3.5	2	3.5	3.5	4	6	3.5	6	5	4.33333333333333
4	2.5	3	3	2.5	2	3.5	2.5	4	5
3	2.5	3.5	3.5	2	5.5	6	4.5	6	5.33333333333333
5.5	4	5	4	3.5	3.5	5	5	6	5.33333333333333
5	4	4.5	4	4	4	4	5	6	4.66666666666667
4.5	4.5	4	3.5	3	3	3.5	3	5	4.33333333333333
5.5	5.5	5	5	4.5	4.5	3.5	4	5	4
4.5	4	5	2.5	3.5	3.5	3	3	4	3.66666666666667
5.5	4	2.5	4.5	2.5	2.5	3	3.5	5	5.33333333333333
4.5	2.5	4	3.5	3.5	4.5	4	4	5	4.66666666666667
5.5	2.5	4.5	4.5	2.5	4.5	4.5	4	5.5	4
5	3	5	5	3	5	4.5	5	6	5.33333333333333
5.5	5	4	2	2.5	1.5	2	1	5	5.66666666666667
4	3	3	2.5	3	3.5	4	4.5	5	6
3	2	3.5	3	2.5	5.5	5.5	4.5	6	6
5	4.5	4.5	4	3	5	5.5	4.5	6	5.33333333333333
6	5	4.5	3.5	3.5	4	5	5	6	5.33333333333333
4	1.5	1.5	3.5	3	5.5	4	6	5.5	5
4.5	3	2.5	3	2.5	4.5	3.5	4	5	4.66666666666667
6	3.5	3	5.5	3.5	3	2.5	5	5	5.33333333333333
5	2	4	2	1	3.5	3	2.5	6	4.66666666666667
3	2	3	4	3	5	4	4.5	5	5.33333333333333
5.5	4.5	4	3.5	4	5.5	5	4	6	5
5	5.5	5	5	3	4.5	2	2.5	4	5
3.5	2	2	4	3.5	4	3.5	4.5	5	4
4.5	3	2.5	5	3	5	5	4.5	5.5	2.66666666666667
